risk,zip,latitude,longitude,facility_type,dba_name,address,neighborhood
Risk 1 (High),60609.0,41.8168337693,-87.6313462734,restaurant,"#1 china express, ltd.",4248 s wentworth ave ,Fuller Park
Risk 1 (High),60620.0,41.7355782747,-87.6707807508,restaurant,#1 chop suey,1907 w 87th st ,Auburn Gresham
Risk 1 (High),60641.0,41.95344345,-87.735763334,restaurant,#1 chop suey,4307 w irving park rd ,Irving Park
Risk 1 (High),60641.0,41.95344345,-87.735763334,restaurant,#1 chop suey restaurant,4307 w irving park rd ,Irving Park
Risk 2 (Medium),60621.0,41.7688661883,-87.6370954562,grocery store,"#1 deli, inc",6901 s normal blvd ,Englewood
Risk 1 (High),60615.0,41.7996256893,-87.5913736704,restaurant,#1 wok n roll,1408 e 53rd st ,Hyde Park
Risk 1 (High),60634.0,41.9586991986,-87.7673323927,restaurant,'c' a catering and event company,4300-4304 n central ave ,Portage Park
Risk 2 (Medium),60638.0,41.7943666237,-87.7718962058,restaurant,'dulce v',6140 s archer ave ,Garfield Ridge
Risk 1 (High),60613.0,41.961477015,-87.6695710298,restaurant,'genghis' eatery,1607 w montrose ave ,Lake View
Risk 2 (Medium),60643.0,41.6924522176,-87.6692038723,bakery,'laine's bake shop,11057 s homewood ave ,Morgan Park
Risk 3 (Low),60601.0,41.8845401106,-87.6243085225,other,'m' bar,151 n michigan ave ste c-16,Loop
Risk 2 (Medium),60629.0,41.7625619933,-87.7102079107,other,'sweet sugah' catering boutique,3500 w 72nd ,Chicago Lawn
Risk 1 (High),60647.0,41.9249652238,-87.6924009192,restaurant,(k)  new  restaurant,2556 w fullerton ave bldg ,Logan Square
Risk 1 (High),60608.0,41.8360427686,-87.6460829596,restaurant,1 2 3 express,3205 s halsted st ,Bridgeport
Risk 3 (Low),60628.0,41.692316732,-87.636476784,grocery store,"1 jackpot mini mart, inc.",535 w 111th st ,Roseland
Risk 3 (Low),60623.0,41.8590750272,-87.7158176655,grocery store,1 stop  food mart,3612 w 16th st ,North Lawndale
Risk 2 (Medium),60628.0,41.6722695974,-87.6415764808,grocery store,1 stop & shop inc.,12201-12209 s halsted st ,West Pullman
Risk 1 (High),60630.0,41.9676678447,-87.7401835119,restaurant,"1,200 sq.ft. - yemen restaurant, inc.",4748 n kenneth ave ,Irving Park
Risk 2 (Medium),60609.0,41.8089644995,-87.6344334998,restaurant,1-94 ribs & grill,325 w 47th st ,Fuller Park
Risk 1 (High),60610.0,41.8883610257,-87.6281796058,restaurant,10 pin  bowling lounge,330 n state st ,River North
Risk 3 (Low),60641.0,41.9441989923,-87.7471572816,grocery store,100 pennies store,3458 n cicero ,Portage Park
Risk 1 (High),60657.0,41.9400203602,-87.6541721064,restaurant,1000 liquors / big city tap,1000-1012 w belmont ave ,Lake View
Risk 3 (Low),60613.0,41.961655309,-87.6556499449,other,1021 montrose,1021 w montrose ave ,Uptown
Risk 2 (Medium),60643.0,41.7067462851,-87.6496746096,restaurant,"103 chicken & more, inc.",1049 w 103rd st ,Washington Heights
Risk 3 (Low),60643.0,41.706744981,-87.6498304617,other,103rd citgo inc,1053 w 103rd st ,Washington Heights
Risk 3 (Low),60643.0,41.7067469597,-87.6495967621,grocery store,1053 w 103rd inc,1047-1059 w 103rd st ,Washington Heights
Risk 2 (Medium),60602.0,41.88184063,-87.6332550894,restaurant,11 dining,181 w madison st ,Loop
Risk 1 (High),60603.0,41.8807051043,-87.6324763051,restaurant,"11 dining,  llc",50 s la salle st ,Loop
Risk 1 (High),60607.0,41.8719961299,-87.6392042917,restaurant,"11 dining, llc",801 s canal st ,West Loop
Risk 3 (Low),60652.0,41.7499098721,-87.7069683457,other,11-7 food & liquor,3352 w 79th st ,Ashburn
Risk 2 (Medium),60605.0,41.8690625166,-87.6260157983,restaurant,1104 wabash,1104 s wabash ave ,Loop
Risk 3 (Low),60602.0,41.8831009625,-87.6312632208,grocery store,111 concession shop,111 w washington st ,Loop
Risk 1 (High),60623.0,41.8590139133,-87.7251056486,restaurant,111 mexican grill,1556 s pulaski rd ,North Lawndale
Risk 2 (Medium),60628.0,41.6926385628,-87.6123874955,grocery store,"111 th food & cellular, inc",423-425 e 111th st ,Roseland
Risk 3 (Low),60643.0,41.6923471258,-87.6522323351,grocery store,"111th and racine marathon, inc.",1200 w 111th st ,Morgan Park
Risk 3 (Low),60643.0,41.6921572387,-87.6497962535,grocery store,"111th food mart, inc.",1101 w 111th st ,Morgan Park
Risk 3 (Low),60628.0,41.6925370419,-87.6232492653,grocery store,111th street clark,11100 s state st ,Roseland
Risk 2 (Medium),60628.0,41.6907420066,-87.6006779022,restaurant,111th street otb,11203 s corliss ave ,Pullman
Risk 1 (High),60607.0,41.8867876959,-87.6566939487,grocery store,1154 fulton market,1154 w fulton market ,West Loop
Risk 1 (High),60637.0,41.7858573361,-87.5973785212,restaurant,1155 cafeteria,1155 e 60th st ,Woodlawn
Risk 3 (Low),60610.0,41.9032784014,-87.6291285334,other,12 west elm,12 w elm st ,Rush & Division
Risk 3 (Low),60606.0,41.8837482169,-87.6366618383,grocery store,123 concession shop,123 n wacker dr ,Loop
Risk 2 (Medium),60636.0,41.7794773273,-87.6701347329,grocery store,123 food,1822 w 63rd st ,Englewood
Risk 2 (Medium),60612.0,41.8918191112,-87.7062965831,grocery store,123 grocery plus,549 n kedzie ave ,Humboldt Park
Risk 3 (Low),60659.0,41.9840474484,-87.696436126,other,123 korean restaurant,5643 n lincoln ave ,West Ridge
Risk 3 (Low),60619.0,41.7293116291,-87.6044995447,grocery store,123 mini mart,9101 s cottage grove ave ,Chatham
Risk 3 (Low),60606.0,41.8837482169,-87.6366618383,grocery store,123 n. wacker gateway newstands,123 n wacker dr ,Loop
Risk 1 (High),60642.0,41.9045021072,-87.6482668678,restaurant,"1234 bbq ribs inc.,",1234 n halsted st ,River North
Risk 1 (High),60605.0,41.8660735868,-87.6242676732,restaurant,1250 south llc,1250 s michigan ave ,Near South Side
Risk 1 (High),60641.0,41.9537042956,-87.7326407737,restaurant,13 pins tapas & grill,4202 w irving park rd ,Irving Park
Risk 1 (High),60610.0,41.9073601744,-87.6258106615,grocery store,1350 lake shore dr. commissary,1350 n lake shore dr ,Gold Coast
Risk 1 (High),60616.0,41.8501179934,-87.6235891064,restaurant,14 parish,2333 s michigan ave ,Near South Side
Risk 1 (High),60654.0,41.8901664004,-87.6285457937,restaurant,"14 w. hubbard, llc",14-18 w hubbard st ,River North
Risk 1 (High),60610.0,41.9079094667,-87.6259457782,grocery store,1400 market place,1400 n lake shore dr ,Gold Coast
Risk 3 (Low),60639.0,41.9243724156,-87.7268920421,grocery store,143 seven food mart,4003 w fullerton ave ,Hermosa
Risk 1 (High),60647.0,41.9101501452,-87.6927146625,restaurant,1492 cuban fusion inc,2615 w north ave ,Humboldt Park
Risk 1 (High),60611.0,41.8958125747,-87.6265890243,restaurant,1492 tapas,42 e superior st ,Rush & Division
Risk 1 (High),60616.0,41.8483862512,-87.6419600776,restaurant,15 / 20 lounge,2428-2436 s wallace st ,Bridgeport
Risk 1 (High),60616.0,41.8483313932,-87.6419126215,restaurant,15 / 20 lounge,2430-2436 s wallace st ,Bridgeport
Risk 3 (Low),60622.0,41.9102467208,-87.6493366433,restaurant,1555 club,1555 n dayton st ,River North
Risk 3 (Low),60623.0,41.8608003082,-87.7057545527,other,15th & kedzie variety store,3205 w 15th st ,North Lawndale
Risk 2 (Medium),60623.0,41.8607072551,-87.7346490113,grocery store,15th street food mart inc.,1457 s kostner ave ,North Lawndale
Risk 3 (Low),60623.0,41.8590724374,-87.7161836468,other,16 community food,3620 w 16th st ,North Lawndale
Risk 2 (Medium),60623.0,41.8590646843,-87.7166749975,grocery store,16th & millard food,3638 w 16th st ,North Lawndale
Risk 3 (Low),60623.0,41.8589103641,-87.7297821329,grocery store,16th express mart,4160 w 16th st ,North Lawndale
Risk 2 (Medium),60623.0,41.8590298265,-87.7056009953,grocery store,16th mart,1600 s kedzie ave ,North Lawndale
Risk 2 (Medium),60623.0,41.8590743799,-87.7159091606,grocery store,16th st food mart,3614 w 16th st ,North Lawndale
Risk 3 (Low),60623.0,41.8589892002,-87.7237787228,other,16th street newsstand,3934 w 16th st ,North Lawndale
Risk 1 (High),60604.0,41.8780144872,-87.63318903,restaurant,175 sopraffina market caffe llc,175 w jackson blvd ,Loop
Risk 3 (Low),60640.0,41.9652511537,-87.6757830921,other,"1826 cafe, inc.",1826 w wilson ave ,Lincoln Square
Risk 2 (Medium),60623.0,41.8569414554,-87.7250549142,grocery store,18th street food mart,1800 s pulaski rd ,North Lawndale
Risk 3 (Low),60616.0,41.8541455243,-87.6262059547,catering,19 east,19 e 21st st ,Near South Side
Risk 1 (High),60643.0,41.6906463593,-87.6641560682,restaurant,19 paul,11155-11157 s vincennes ave ,Morgan Park
Risk 2 (Medium),60623.0,41.8549842759,-87.7247028419,grocery store,19 pulaski,1901 s pulaski rd ,North Lawndale
Risk 3 (Low),60647.0,41.9161114292,-87.6865396538,other,"1910 n milwaukee operations, llc",1910 n milwaukee ave ,Bucktown
Risk 1 (High),60647.0,41.916620754,-87.6868726513,restaurant,1931 restaurant,1931 n milwaukee ave ,Bucktown
Risk 1 (High),60628.0,41.6924255779,-87.6271794018,restaurant,194  rib  joynt,133 w 111th st ,Roseland
Risk 2 (Medium),60623.0,41.8549842759,-87.7247028419,grocery store,19th st food mart,1901 s pulaski rd ,North Lawndale
Risk 1 (High),60638.0,41.7959054058,-87.760410155,restaurant,1st chop suey,5845 s archer ave ,Garfield Ridge
Risk 1 (High),60628.0,41.70074439,-87.642788385,daycare (2 - 6 years),1st fruits academy inc,10622-10624 s halsted st ,Washington Heights
Risk 1 (High),60630.0,41.9770412687,-87.7544283886,restaurant,"1st hunan spring, inc",5279 n elston ave ,"Sauganash,Forest Glen"
Risk 1 (High),60602.0,41.8831005395,-87.6303312119,other,1st united methodist church of chicago aid society,77 w washington st ,Loop
Risk 1 (High),60625.0,41.9758474123,-87.7096035578,restaurant,2 asian brothers,3222 w foster ave ,North Park
Risk 2 (Medium),60644.0,41.8708260144,-87.7447676388,restaurant,2 big sharks fish & chicken,749 s cicero ave ,Austin
Risk 3 (Low),60618.0,41.939285933,-87.720570209,other,2 in 1 mini mart,3716 w belmont ave ,Avondale
Risk 2 (Medium),60619.0,41.7269167614,-87.6047369443,restaurant,2 plus,9218 s cottage grove ave ,Chatham
Risk 1 (High),60614.0,41.9327235569,-87.6432493759,restaurant,2 sparrows,553-555 w diversey pkwy ,Lincoln Park
Risk 3 (Low),60604.0,41.878949977,-87.6262521173,other,2 twenty 2 tavern,222 s wabash ave ,Loop
Risk 3 (Low),60601.0,41.8846320758,-87.6222479911,grocery store,200 convenience,200 e randolph st ,Loop
Risk 3 (Low),60653.0,41.8094238941,-87.620951802,grocery store,200 liquors,204 e 47th st ,Grand Boulevard
Risk 3 (Low),60636.0,41.7935912941,-87.6644276372,other,"2001 express mini mart, inc.",5501 s ashland ave ,Englewood
Risk 3 (Low),60646.0,41.996371597,-87.7642770382,other,2001 gas central,6308 n central ave ,"Sauganash,Forest Glen"
Risk 2 (Medium),60657.0,41.9399945565,-87.6508855147,restaurant,2002 donuts inc,3200 n clark st ,Lake View
Risk 3 (Low),60618.0,41.9564504022,-87.7128452298,grocery store,2012 food mart inc,4125 n kimball ave ,Irving Park
Risk 1 (High),60618.0,41.9542569282,-87.6794131278,restaurant,2012 w irving park,2012-2014 w irving park rd ,North Center
Risk 1 (High),60619.0,41.7510966073,-87.6096830058,restaurant,2015 see thru chinese kitchen,609 e 79th st ,Chatham
Risk 1 (High),60607.0,41.8858150391,-87.6496672665,restaurant,205 i.c. inc,205-209 n peoria st ,West Loop
